price,area,bedrooms,bathrooms,stories,parking,mainroad_no,mainroad_yes,guestroom_no,guestroom_yes,basement_no,basement_yes,hotwaterheating_no,hotwaterheating_yes,airconditioning_no,airconditioning_yes,prefarea_no,prefarea_yes,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
3.205509076375104,1.132100021557843,1.4325375119004806,1.427700082696784,1.3782169202337835,1.5176924895404067,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False
3.205509076375104,1.8846687068672319,1.4325375119004806,5.417938775362154,2.53202371213457,2.679409353022881,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False
3.205509076375104,2.373349671353848,0.04580048883518396,1.427700082696784,0.22441012833299692,1.5176924895404067,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False
3.205509076375104,-0.27530115616361167,1.4325375119004806,1.427700082696784,0.22441012833299692,2.679409353022881,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False
3.205509076375104,-0.27530115616361167,1.4325375119004806,-0.5674192636359016,0.22441012833299692,1.5176924895404067,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False
3.205509076375104,1.1711944987167722,0.04580048883518396,3.42281942902947,-0.9293966635677897,1.5176924895404067,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False
2.98851869711211,1.6989699403623175,1.4325375119004806,3.42281942902947,2.53202371213457,1.5176924895404067,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False
2.98851869711211,3.278777762354634,2.819274534965777,3.42281942902947,0.22441012833299692,-0.8057412374245417,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True
2.833525569067099,1.464403077408742,1.4325375119004806,-0.5674192636359016,0.22441012833299692,1.5176924895404067,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False
2.7947772870558465,0.3160028108651939,0.04580048883518396,1.427700082696784,2.53202371213457,0.35597562605793237,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True
2.7947772870558465,-0.27530115616361167,0.04580048883518396,-0.5674192636359016,0.22441012833299692,1.5176924895404067,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False
2.728905207636717,0.4381730519868479,1.4325375119004806,3.42281942902947,0.22441012833299692,1.5176924895404067,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False
2.523539312977078,0.7069475824544869,1.4325375119004806,1.427700082696784,0.22441012833299692,0.35597562605793237,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False
2.4847910309658254,-0.7835293592296925,2.819274534965777,1.427700082696784,0.22441012833299692,1.5176924895404067,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False
2.4847910309658254,1.317798788062757,0.04580048883518396,1.427700082696784,0.22441012833299692,-0.8057412374245417,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False
2.40729446694332,0.4381730519868479,1.4325375119004806,-0.5674192636359016,0.22441012833299692,1.5176924895404067,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False
2.40729446694332,0.7313816306788177,1.4325375119004806,1.427700082696784,0.22441012833299692,0.35597562605793237,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True
2.3297979029208147,1.6598754632033883,0.04580048883518396,1.427700082696784,2.53202371213457,1.5176924895404067,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False
2.291049620909562,-0.2459802982944147,0.04580048883518396,-0.5674192636359016,0.22441012833299692,1.5176924895404067,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False
2.2716754799039354,0.6434190570712267,0.04580048883518396,1.427700082696784,0.22441012833299692,0.35597562605793237,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False
2.2135530568870565,-0.3828109683506672,0.04580048883518396,-0.5674192636359016,0.22441012833299692,1.5176924895404067,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False
2.174804774875804,1.0025995659688896,0.04580048883518396,1.427700082696784,-0.9293966635677897,1.5176924895404067,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True
2.1554306338701776,1.4399690291844112,0.04580048883518396,-0.5674192636359016,-0.9293966635677897,0.35597562605793237,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False
2.1554306338701776,-0.2655275368738793,0.04580048883518396,1.427700082696784,0.22441012833299692,0.35597562605793237,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False
2.116682351858925,1.8064797525493732,0.04580048883518396,1.427700082696784,0.22441012833299692,1.5176924895404067,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False
2.0973082108532983,0.7020607728096206,1.4325375119004806,1.427700082696784,0.22441012833299692,1.5176924895404067,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False
2.0546851006409206,0.4381730519868479,0.04580048883518396,1.427700082696784,2.53202371213457,-0.8057412374245417,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False
2.019811646830793,1.8431308248858693,0.04580048883518396,-0.5674192636359016,-0.9293966635677897,0.35597562605793237,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False
2.019811646830793,1.3911009327357495,2.819274534965777,1.427700082696784,0.22441012833299692,1.5176924895404067,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True
2.019811646830793,0.19383256974353985,1.4325375119004806,1.427700082696784,0.22441012833299692,0.35597562605793237,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False
2.019811646830793,1.1589774746046069,0.04580048883518396,1.427700082696784,2.53202371213457,1.5176924895404067,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True
